"Entity ID","Common Name","Scientific Name","Where Listed","Species Group","FWS Lead Region","ESA Listing Status","Critical Habitat Type","Federal Register Publication","Critical Habitat Shapefile","tsn","Acres and Miles"
"1","Bat, Indiana","Myotis sodalis","Wherever found","Mammals","Region 3","Endangered","Final","Federal Register (1977-09-22)","Download","180001","9763890.9 acres"
"2","Bear, grizzly","Ursus arctos horribilis","U.S.A., conterminous (lower 48) States, except where listed as an experimental population","Mammals","Region 6","Threatened","Proposed","Federal Register (1976-11-05)","","202385",""
"7","Manatee, West Indian","Trichechus manatus","Wherever found","Mammals","Region 4","Threatened","Proposed","Federal Register (2024-09-24)","Download","180684","1988617.7 acres"
"7","Manatee, West Indian","Trichechus manatus","Wherever found","Mammals","Region 4","Threatened","Final","Federal Register (1977-09-22)","","180684",""
"11","Wolf, gray","Canis lupus","U.S.A.: All of AL, AR, CA, CO, CT, DE, FL, GA, IA, IN, IL, KS, KY, LA, MA, MD, ME, MI, MO, MS, NC, ND, NE, NH, NJ, NV, NY, OH, OK, PA, RI, SC, SD, TN, TX, VA, VT, WI, and WV; and portions of AZ, NM, OR, UT, and WA. Mexico.","Mammals","Region 6","Endangered","Final","Federal Register (1978-03-09)","","180596",""
"12","Wolf, gray","Canis lupus","MN","Mammals","Region 3","Threatened","Final","Federal Register (1978-03-09)","Download","180596","5780106.5 acres"
"16","Kangaroo rat, Morro Bay","Dipodomys heermanni morroensis","Wherever found","Mammals","Region 8","Endangered","Final","Federal Register (1977-09-22)","Download","202360","675.4 acres"
"18","Jaguar","Panthera onca","Wherever found","Mammals","Region 2","Endangered","Final","Federal Register (2024-05-30)","Download","180593","638000.6 acres"
"24","Lynx, Canada","Lynx canadensis","Wherever Found in Contiguous U.S.","Mammals","Region 6","Threatened","Final","Federal Register (2014-09-12)","Download","180585","26191443.5 acres"
"24","Lynx, Canada","Lynx canadensis","Wherever Found in Contiguous U.S.","Mammals","Region 6","Threatened","Proposed","Federal Register (2024-11-29)","","180585",""
